paper,paper_short,venue,year,table,method,proposed,modality,metric_type,alignment,dataset,sequence,sequence_norm,metric,unit,value,status,note
DEIO,DEIO,ICCV,2025,I,Zhu et al.,no,E+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),boxes_translation,boxes_translation,MPE,%,2.69,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Zhu et al.,no,E+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),hdr_boxes,hdr_boxes,MPE,%,1.23,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Zhu et al.,no,E+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),boxes_6dof,boxes_6dof,MPE,%,3.61,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Zhu et al.,no,E+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),dynamic_translation,dynamic_translation,MPE,%,1.9,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Zhu et al.,no,E+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),dynamic_6dof,dynamic_6dof,MPE,%,4.07,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Zhu et al.,no,E+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),poster_translation,poster_translation,MPE,%,0.94,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Zhu et al.,no,E+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),hdr_poster,hdr_poster,MPE,%,2.63,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Zhu et al.,no,E+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),poster_6dof,poster_6dof,MPE,%,3.56,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Zhu et al.,no,E+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),average,average,MPE,%,2.58,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Rebecq EVIO,no,E+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),boxes_translation,boxes_translation,MPE,%,0.57,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Rebecq EVIO,no,E+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),hdr_boxes,hdr_boxes,MPE,%,0.92,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Rebecq EVIO,no,E+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),boxes_6dof,boxes_6dof,MPE,%,0.69,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Rebecq EVIO,no,E+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),dynamic_translation,dynamic_translation,MPE,%,0.47,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Rebecq EVIO,no,E+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),dynamic_6dof,dynamic_6dof,MPE,%,0.54,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Rebecq EVIO,no,E+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),poster_translation,poster_translation,MPE,%,0.89,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Rebecq EVIO,no,E+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),hdr_poster,hdr_poster,MPE,%,0.59,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Rebecq EVIO,no,E+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),poster_6dof,poster_6dof,MPE,%,0.82,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Rebecq EVIO,no,E+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),average,average,MPE,%,0.69,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Ultimate-SLAM (EIO),no,E+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),boxes_translation,boxes_translation,MPE,%,0.76,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Ultimate-SLAM (EIO),no,E+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),hdr_boxes,hdr_boxes,MPE,%,0.67,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
